null	 Ack time: 	1415801531469	 Dep numbers: 	0
127.0.0.1 : 21000:105	 Issue time: 	1415801531557	 Dep numbers: 	14
null	 Ack time: 	1415801531566	 Dep numbers: 	0
127.0.0.1 : 21000:106	 Issue time: 	1415801531654	 Dep numbers: 	42
127.0.0.1 : 21000:107	 Issue time: 	1415801531667	 Dep numbers: 	21
null	 Ack time: 	1415801531669	 Dep numbers: 	0
127.0.0.1 : 21000:108	 Issue time: 	1415801531672	 Dep numbers: 	20
null	 Ack time: 	1415801531675	 Dep numbers: 	0
null	 Ack time: 	1415801531679	 Dep numbers: 	0
127.0.0.1 : 21000:109	 Issue time: 	1415801531703	 Dep numbers: 	3
null	 Ack time: 	1415801531707	 Dep numbers: 	0
127.0.0.1 : 21000:110	 Issue time: 	1415801531746	 Dep numbers: 	2
null	 Ack time: 	1415801531753	 Dep numbers: 	0
127.0.0.1 : 21000:111	 Issue time: 	1415801531882	 Dep numbers: 	5
null	 Ack time: 	1415801531887	 Dep numbers: 	0
127.0.0.1 : 21000:112	 Issue time: 	1415801531981	 Dep numbers: 	84
127.0.0.1 : 21000:113	 Issue time: 	1415801532025	 Dep numbers: 	34
null	 Ack time: 	1415801532027	 Dep numbers: 	0
127.0.0.1 : 21000:114	 Issue time: 	1415801532036	 Dep numbers: 	36
null	 Ack time: 	1415801532038	 Dep numbers: 	0
null	 Ack time: 	1415801532049	 Dep numbers: 	0
127.0.0.1 : 21000:115	 Issue time: 	1415801532120	 Dep numbers: 	6
null	 Ack time: 	1415801532130	 Dep numbers: 	0
127.0.0.1 : 21000:116	 Issue time: 	1415801532312	 Dep numbers: 	0
null	 Ack time: 	1415801532317	 Dep numbers: 	0
127.0.0.1 : 21000:117	 Issue time: 	1415801532359	 Dep numbers: 	36
127.0.0.1 : 21000:118	 Issue time: 	1415801532371	 Dep numbers: 	24
null	 Ack time: 	1415801532374	 Dep numbers: 	0
127.0.0.1 : 21000:119	 Issue time: 	1415801532388	 Dep numbers: 	36
null	 Ack time: 	1415801532390	 Dep numbers: 	0
127.0.0.1 : 21000:120	 Issue time: 	1415801532405	 Dep numbers: 	7
null	 Ack time: 	1415801532408	 Dep numbers: 	0
127.0.0.1 : 21000:121	 Issue time: 	1415801532413	 Dep numbers: 	29
null	 Ack time: 	1415801532416	 Dep numbers: 	0
null	 Ack time: 	1415801532426	 Dep numbers: 	0
127.0.0.1 : 21000:122	 Issue time: 	1415801532502	 Dep numbers: 	40
127.0.0.1 : 21000:123	 Issue time: 	1415801532529	 Dep numbers: 	38
null	 Ack time: 	1415801532532	 Dep numbers: 	0
null	 Ack time: 	1415801532571	 Dep numbers: 	0
127.0.0.1 : 21000:124	 Issue time: 	1415801532617	 Dep numbers: 	27
null	 Ack time: 	1415801532634	 Dep numbers: 	0
127.0.0.1 : 21000:125	 Issue time: 	1415801532643	 Dep numbers: 	26
null	 Ack time: 	1415801532657	 Dep numbers: 	0
127.0.0.1 : 21000:126	 Issue time: 	1415801532788	 Dep numbers: 	65
127.0.0.1 : 21000:127	 Issue time: 	1415801532806	 Dep numbers: 	20
null	 Ack time: 	1415801532809	 Dep numbers: 	0
127.0.0.1 : 21000:128	 Issue time: 	1415801532812	 Dep numbers: 	66
null	 Ack time: 	1415801532815	 Dep numbers: 	0
null	 Ack time: 	1415801532835	 Dep numbers: 	0
127.0.0.1 : 21000:129	 Issue time: 	1415801532884	 Dep numbers: 	23
127.0.0.1 : 21000:130	 Issue time: 	1415801532893	 Dep numbers: 	52
null	 Ack time: 	1415801532897	 Dep numbers: 	0
null	 Ack time: 	1415801532910	 Dep numbers: 	0
127.0.0.1 : 21000:131	 Issue time: 	1415801532924	 Dep numbers: 	47
127.0.0.1 : 21000:132	 Issue time: 	1415801532938	 Dep numbers: 	39
null	 Ack time: 	1415801532942	 Dep numbers: 	0
null	 Ack time: 	1415801532948	 Dep numbers: 	0
127.0.0.1 : 21000:133	 Issue time: 	1415801532965	 Dep numbers: 	122
127.0.0.1 : 21000:134	 Issue time: 	1415801533002	 Dep numbers: 	56
null	 Ack time: 	1415801533004	 Dep numbers: 	0
127.0.0.1 : 21000:135	 Issue time: 	1415801533024	 Dep numbers: 	19
127.0.0.1 : 21000:136	 Issue time: 	1415801533027	 Dep numbers: 	5
null	 Ack time: 	1415801533030	 Dep numbers: 	0
null	 Ack time: 	1415801533033	 Dep numbers: 	0
null	 Ack time: 	1415801533035	 Dep numbers: 	0
127.0.0.1 : 21000:137	 Issue time: 	1415801533124	 Dep numbers: 	29
null	 Ack time: 	1415801533157	 Dep numbers: 	0
127.0.0.1 : 21000:138	 Issue time: 	1415801533208	 Dep numbers: 	76
null	 Ack time: 	1415801533232	 Dep numbers: 	0
127.0.0.1 : 21000:139	 Issue time: 	1415801533248	 Dep numbers: 	100
127.0.0.1 : 21000:140	 Issue time: 	1415801533303	 Dep numbers: 	31
null	 Ack time: 	1415801533309	 Dep numbers: 	0
null	 Ack time: 	1415801533319	 Dep numbers: 	0
127.0.0.1 : 21000:141	 Issue time: 	1415801533332	 Dep numbers: 	7
null	 Ack time: 	1415801533340	 Dep numbers: 	0
127.0.0.1 : 21000:142	 Issue time: 	1415801533356	 Dep numbers: 	98
null	 Ack time: 	1415801533394	 Dep numbers: 	0
127.0.0.1 : 21000:143	 Issue time: 	1415801533564	 Dep numbers: 	38
null	 Ack time: 	1415801533578	 Dep numbers: 	0
127.0.0.1 : 21000:144	 Issue time: 	1415801533589	 Dep numbers: 	103
127.0.0.1 : 21000:145	 Issue time: 	1415801533615	 Dep numbers: 	68
null	 Ack time: 	1415801533617	 Dep numbers: 	0
null	 Ack time: 	1415801533623	 Dep numbers: 	0
127.0.0.1 : 21000:146	 Issue time: 	1415801533958	 Dep numbers: 	38
127.0.0.1 : 21000:147	 Issue time: 	1415801533980	 Dep numbers: 	74
null	 Ack time: 	1415801533983	 Dep numbers: 	0
null	 Ack time: 	1415801534007	 Dep numbers: 	0
127.0.0.1 : 21000:148	 Issue time: 	1415801534070	 Dep numbers: 	6
null	 Ack time: 	1415801534075	 Dep numbers: 	0
127.0.0.1 : 21000:149	 Issue time: 	1415801534092	 Dep numbers: 	30
null	 Ack time: 	1415801534104	 Dep numbers: 	0
127.0.0.1 : 21000:150	 Issue time: 	1415801534105	 Dep numbers: 	31
null	 Ack time: 	1415801534116	 Dep numbers: 	0
127.0.0.1 : 21000:151	 Issue time: 	1415801534172	 Dep numbers: 	113
127.0.0.1 : 21000:152	 Issue time: 	1415801534227	 Dep numbers: 	60
null	 Ack time: 	1415801534230	 Dep numbers: 	0
127.0.0.1 : 21000:153	 Issue time: 	1415801534234	 Dep numbers: 	77
null	 Ack time: 	1415801534238	 Dep numbers: 	0
127.0.0.1 : 21000:154	 Issue time: 	1415801534253	 Dep numbers: 	92
null	 Ack time: 	1415801534256	 Dep numbers: 	0
null	 Ack time: 	1415801534262	 Dep numbers: 	0
127.0.0.1 : 21000:155	 Issue time: 	1415801534271	 Dep numbers: 	131
127.0.0.1 : 21000:156	 Issue time: 	1415801534307	 Dep numbers: 	38
null	 Ack time: 	1415801534310	 Dep numbers: 	0
null	 Ack time: 	1415801534322	 Dep numbers: 	0
127.0.0.1 : 21000:157	 Issue time: 	1415801534391	 Dep numbers: 	35
null	 Ack time: 	1415801534404	 Dep numbers: 	0
127.0.0.1 : 21000:158	 Issue time: 	1415801534451	 Dep numbers: 	33
null	 Ack time: 	1415801534462	 Dep numbers: 	0
127.0.0.1 : 21000:159	 Issue time: 	1415801534616	 Dep numbers: 	77
127.0.0.1 : 21000:160	 Issue time: 	1415801534634	 Dep numbers: 	8
null	 Ack time: 	1415801534636	 Dep numbers: 	0
null	 Ack time: 	1415801534640	 Dep numbers: 	0
127.0.0.1 : 21000:161	 Issue time: 	1415801534700	 Dep numbers: 	15
null	 Ack time: 	1415801534708	 Dep numbers: 	0
127.0.0.1 : 21000:162	 Issue time: 	1415801534718	 Dep numbers: 	92
null	 Ack time: 	1415801534743	 Dep numbers: 	0
127.0.0.1 : 21000:163	 Issue time: 	1415801534743	 Dep numbers: 	4
null	 Ack time: 	1415801534748	 Dep numbers: 	0
127.0.0.1 : 21000:164	 Issue time: 	1415801534798	 Dep numbers: 	10
null	 Ack time: 	1415801534804	 Dep numbers: 	0
127.0.0.1 : 21000:165	 Issue time: 	1415801534812	 Dep numbers: 	90
null	 Ack time: 	1415801534842	 Dep numbers: 	0
127.0.0.1 : 21000:166	 Issue time: 	1415801534855	 Dep numbers: 	22
127.0.0.1 : 21000:167	 Issue time: 	1415801534873	 Dep numbers: 	72
null	 Ack time: 	1415801534879	 Dep numbers: 	0
null	 Ack time: 	1415801534905	 Dep numbers: 	0
127.0.0.1 : 21000:168	 Issue time: 	1415801534964	 Dep numbers: 	3
null	 Ack time: 	1415801534969	 Dep numbers: 	0
127.0.0.1 : 21000:169	 Issue time: 	1415801534978	 Dep numbers: 	34
127.0.0.1 : 21000:170	 Issue time: 	1415801534988	 Dep numbers: 	24
null	 Ack time: 	1415801534993	 Dep numbers: 	0
null	 Ack time: 	1415801534999	 Dep numbers: 	0
127.0.0.1 : 21000:171	 Issue time: 	1415801535114	 Dep numbers: 	79
null	 Ack time: 	1415801535137	 Dep numbers: 	0
127.0.0.1 : 21000:172	 Issue time: 	1415801535505	 Dep numbers: 	12
null	 Ack time: 	1415801535526	 Dep numbers: 	0
127.0.0.1 : 21000:173	 Issue time: 	1415801535541	 Dep numbers: 	21
null	 Ack time: 	1415801535557	 Dep numbers: 	0
127.0.0.1 : 21000:174	 Issue time: 	1415801535564	 Dep numbers: 	41
null	 Ack time: 	1415801535587	 Dep numbers: 	0
127.0.0.1 : 21000:175	 Issue time: 	1415801535617	 Dep numbers: 	48
null	 Ack time: 	1415801535649	 Dep numbers: 	0
127.0.0.1 : 21000:176	 Issue time: 	1415801535662	 Dep numbers: 	19
null	 Ack time: 	1415801535670	 Dep numbers: 	0
127.0.0.1 : 21000:177	 Issue time: 	1415801535768	 Dep numbers: 	39
null	 Ack time: 	1415801535781	 Dep numbers: 	0
127.0.0.1 : 21000:178	 Issue time: 	1415801535830	 Dep numbers: 	3
null	 Ack time: 	1415801535835	 Dep numbers: 	0
127.0.0.1 : 21000:179	 Issue time: 	1415801535878	 Dep numbers: 	35
null	 Ack time: 	1415801535917	 Dep numbers: 	0
127.0.0.1 : 21000:180	 Issue time: 	1415801535928	 Dep numbers: 	58
null	 Ack time: 	1415801535948	 Dep numbers: 	0
127.0.0.1 : 21000:181	 Issue time: 	1415801535964	 Dep numbers: 	105
127.0.0.1 : 21000:182	 Issue time: 	1415801535990	 Dep numbers: 	25
null	 Ack time: 	1415801535993	 Dep numbers: 	0
127.0.0.1 : 21000:183	 Issue time: 	1415801536001	 Dep numbers: 	47
null	 Ack time: 	1415801536004	 Dep numbers: 	0
null	 Ack time: 	1415801536011	 Dep numbers: 	0
127.0.0.1 : 21000:184	 Issue time: 	1415801536024	 Dep numbers: 	133
127.0.0.1 : 21000:185	 Issue time: 	1415801536056	 Dep numbers: 	115
null	 Ack time: 	1415801536059	 Dep numbers: 	0
127.0.0.1 : 21000:186	 Issue time: 	1415801536074	 Dep numbers: 	76
null	 Ack time: 	1415801536077	 Dep numbers: 	0
127.0.0.1 : 21000:187	 Issue time: 	1415801536096	 Dep numbers: 	35
null	 Ack time: 	1415801536100	 Dep numbers: 	0
null	 Ack time: 	1415801536104	 Dep numbers: 	0
127.0.0.1 : 21000:188	 Issue time: 	1415801536125	 Dep numbers: 	153
null	 Ack time: 	1415801536162	 Dep numbers: 	0
127.0.0.1 : 21000:189	 Issue time: 	1415801536209	 Dep numbers: 	55
null	 Ack time: 	1415801536225	 Dep numbers: 	0
127.0.0.1 : 21000:190	 Issue time: 	1415801536303	 Dep numbers: 	28
127.0.0.1 : 21000:191	 Issue time: 	1415801536325	 Dep numbers: 	26
null	 Ack time: 	1415801536332	 Dep numbers: 	0
127.0.0.1 : 21000:192	 Issue time: 	1415801536342	 Dep numbers: 	39
null	 Ack time: 	1415801536346	 Dep numbers: 	0
null	 Ack time: 	1415801536359	 Dep numbers: 	0
127.0.0.1 : 21000:193	 Issue time: 	1415801536475	 Dep numbers: 	133
null	 Ack time: 	1415801536509	 Dep numbers: 	0
127.0.0.1 : 21000:194	 Issue time: 	1415801536633	 Dep numbers: 	156
null	 Ack time: 	1415801536696	 Dep numbers: 	0
127.0.0.1 : 21000:195	 Issue time: 	1415801536775	 Dep numbers: 	7
null	 Ack time: 	1415801536784	 Dep numbers: 	0
127.0.0.1 : 21000:196	 Issue time: 	1415801536796	 Dep numbers: 	71
null	 Ack time: 	1415801536828	 Dep numbers: 	0
